Wavelength in Air, Laser Power, # Photons
nm, mW, n
                         330.0,                      0.0332383,         5.521740822996437e+25
                         331.0,                      0.0346652,         5.776236663682545e+25
                         332.0,                      0.0362096,         6.051807229634546e+25
                         333.0,                      0.0377698,          6.33158138367256e+25
                         334.0,                      0.0394963,         6.640887981679672e+25
                         335.0,                      0.0396513,        6.6869105305393255e+25
                         336.0,                      0.0383242,         6.482397376917638e+25
                         337.0,                       0.035869,         6.085166206352488e+25
                         338.0,                       0.034285,        5.8337005011610195e+25
                         339.0,                      0.0343326,         5.859083222092269e+25
                         340.0,                      0.0358057,         6.128502399543609e+25
                         341.0,                      0.0351166,         6.028234172957038e+25
                         342.0,                      0.0303446,         5.224332359694235e+25
                         343.0,                      0.0271529,         4.688496704350449e+25
                         344.0,                      0.0276388,         4.786310849410768e+25
                         345.0,                      0.0257822,        4.4777757801216054e+25
                         346.0,                      0.0250265,         4.359126684771487e+25
                         347.0,                      0.0305769,         5.341290545602411e+25
                         348.0,                      0.0298232,        5.2246446762912695e+25
                         349.0,                       0.030618,         5.379296968471495e+25
                         350.0,                      0.0327691,         5.773721518321316e+25
                         351.0,                      0.0285291,         5.041020489031049e+25
                         352.0,                      0.0270581,          4.79471983786479e+25
                         353.0,                      0.0218982,         3.891404691705108e+25
                         354.0,                      0.0177783,        3.1682304764712427e+25
                         355.0,                      0.0175373,         3.134110895068483e+25
                         356.0,                      0.0137001,        2.4552572945368627e+25
                         357.0,                      0.0109491,         1.967749964502441e+25
                         358.0,                      0.0136835,         2.466059199999825e+25
                         359.0,                      0.0112059,         2.025183899328008e+25
                         360.0,                      0.0115536,        2.0938381250514115e+25
                         361.0,                      0.0102453,        1.8618948752564644e+25
                         362.0,                      0.0097965,         1.785265400569699e+25
                         363.0,                     0.00993318,        1.8151737621656017e+25
                         364.0,                       0.010521,        1.9278874628240905e+25
                         365.0,                     0.00907212,        1.6669590278811882e+25
                         366.0,                      0.0111301,        2.0507061156316613e+25
                         367.0,                      0.0100904,        1.8642223990901068e+25
                         368.0,                      0.0104799,        1.9414590385861632e+25
                         369.0,                       0.010024,        1.8620472579674936e+25
                         370.0,                      0.0111427,        2.0754651095098384e+25
                         371.0,                     0.00980914,        1.8320111707639185e+25
                         372.0,                      0.0108709,        2.0357840877367603e+25
                         373.0,                     0.00921661,        1.7306263720700145e+25
                         374.0,                     0.00766497,        1.4431296062127747e+25
                         375.0,                     0.00914946,        1.7272293350514925e+25
                         376.0,                     0.00735155,         1.391521866020442e+25
                         377.0,                     0.00813268,        1.5434704146932207e+25
                         378.0,                     0.00906808,        1.7255614013179451e+25
                         379.0,                      0.0068615,        1.3091263141214905e+25
                         380.0,                     0.00883753,        1.6905879632535236e+25
                         381.0,                     0.00754805,        1.4477148155797592e+25
                         382.0,                     0.00539914,        1.0382722019916856e+25
                         383.0,                     0.00555279,         1.070614936547151e+25
                         384.0,                     0.00675059,         1.304957088915737e+25
                         385.0,                     0.00373452,         7.238003586629309e+24
                         386.0,                     0.00496383,         9.645560712932534e+24
                         387.0,                     0.00430145,         8.380098413678484e+24
                         388.0,                     0.00353227,         6.899361378614158e+24
                         389.0,                     0.00391307,          7.66285297830697e+24
                         390.0,                     0.00514475,        1.0100715939920402e+25
                         391.0,                     0.00453608,         8.928545940785973e+24
                         392.0,                     0.00323996,          6.39365194129847e+24
                         393.0,                     0.00432718,         8.560926853915343e+24
                         394.0,                     0.00617846,        1.2254616815512594e+25
                         395.0,                     0.00399384,         7.941655296125487e+24
                         396.0,                     0.00271565,         5.413675957905286e+24
                         397.0,                     0.00368397,         7.362577283524958e+24
                         398.0,                     0.00563098,           1.1282110051677e+25
                         399.0,                     0.00409035,         8.215928318510663e+24
                         400.0,                      0.0028652,         5.769500411509356e+24
